B.1	"(m / multi-sentence
      :snt1 (c / come-across-21
            :arg0 (ii / i)
            :arg1 (p / problem
                  :mod (t / this)))
      :snt2 (f / find-01
            :arg1 (v / value-01
                  :arg1 (s / string-entity
                        :value MATH 
 :math (V1 / 𝑐)
                        :arg0-of (c2 / contain-01
                              :polarity -
                              :arg1 (s2 / string-entity
                                    :value MATH 
 :math (O1 / interval$C-C$$ :op0(O2 / minus :op0(N1 / 1)) :op1(O3 / minus :op0(O4 / divide :op0(N2 / 1) :op1(N3 / 3))))))
                        :arg2-of (r / range-01
                              :arg3 (s3 / string-entity
                                    :value MATH 
 :math (U1 / times :op0(V2 / 𝑓) :op0(V3 / 𝑥)))))
                  :condition (s4 / string-entity
                        :value MATH 
 :math (U2 / eq :op0(U3 / times :op0(V4 / 𝑓) :op0(V5 / 𝑥)) :op0(O5 / divide :op0(U4 / plus :op0(O6 / SUP :op0(V6 / 𝑥) :op1(N4 / 2)) :op0(V7 / 𝑥) :op0(V8 / 𝑐)) :op1(U5 / plus :op0(O7 / SUP :op0(V9 / 𝑥) :op1(N5 / 2)) :op0(U6 / times :op0(N6 / 2) :op0(V10 / 𝑥)) :op0(V11 / 𝑐)))))
                  :time (t2 / then))))"
B.2	"(t / thing
      :manner-of (s / solve-01
            :arg1 (e / equation
                  :mod (d / differential)
                  :mod (f / form
                        :arg1-of (f2 / follow-01)
                        :mod (s2 / string-entity
                              :value MATH 
 :math (U1 / eq :op0(O1 / divide :op0(U2 / times :op0(V1 / 𝑑) :op0(V2 / 𝑓)) :op1(U3 / times :op0(V3 / 𝑑) :op0(V4 / 𝑥))) :op0(U4 / times :op0(V5 / 𝑓) :op0(U5 / plus :op0(V6 / 𝑥) :op0(N1 / 1)))))))))"
B.3	"(m / multi-sentence
      :snt1 (a / attempt-01
            :arg0 (ii / i)
            :arg1 (r / resolve-01
                  :arg0 ii
                  :arg1 (p / problem
                        :arg1-of (f / follow-04)
                        :consist-of (f2 / find-01
                              :arg0 ii
                              :arg1 (t / thing
                                    :arg1-of (a2 / approximate-01
                                          :arg2 (e / equal-01
                                                :arg1 (t2 / thing
                                                      :name (n / name
                                                            :op1 MATH 
 :math (O1 / root :op0(N1 / 5) :op1(N2 / 2))))))
                                    :arg1-of (c / correct-02
                                          :arg2 (e2 / equal-01
                                                :arg1 (t3 / thing
                                                      :name (n2 / name
                                                            :op1 MATH 
 :math (O2 / SUP :op0(N3 / 10) :op1(O3 / minus :op0(N4 / 10)))))
                                                :arg2 (e3 / exact))))
                              :instrument (a3 / algorithm
                                    :instrument-of (b / bisect-01))))))
      :snt2 (c2 / contrast-01
            :arg1 (o / obligate-01
                  :arg2 (p2 / place-01
                        :arg1 (s / string-entity
                              :value MATH 
 :math (O4 / root :op0(N5 / 5) :op1(N6 / 2)))
                        :arg2 (f3 / function-01
                              :arg1 (s2 / string-entity
                                    :value MATH 
 :math (V1 / 𝑥))))
                  :arg1-of (u / understand-01
                        :arg0 (ii2 / i)))
            :arg2 (s3 / sure-02
                  :polarity -
                  :arg0 ii2
                  :arg1 (t4 / thing
                        :arg2-of (g / go-02
                              :arg0 ii2
                              :arg3 (t5 / there))))))"
B.4	"(c / contrast-01
      :arg1 (h / have-03
            :arg0 (ii / i)
            :arg1 (s / sum-of
                  :op1 (s2 / string-entity
                        :value MATH 
 :math (O1 / SUB :op0(O2 / SUP :op0(O3 / SUB :op0(O4 / sum) :op1(U1 / eq :op0(V1 / 𝑘) :op0(N1 / 0))) :op1(V2 / 𝑛)) :op1(U2 / times :op0(T1 / \binom) :op0(V3 / 𝑛) :op0(V4 / 𝑘) :op0(V5 / 𝑘))))
                  :op2 (s3 / string-entity
                        :value MATH 
 :math (U3 / times :op0(V6 / 𝑛) :op0(O5 / SUP :op0(N2 / 2) :op1(O6 / minus :op0(V7 / 𝑛) :op1(N3 / 1)))))))
      :arg2 (k / know-01
            :arg0 ii
            :arg1 (r / result-01
                  :arg2 s))
      :arg3 (k2 / know-01
            :polarity -
            :arg0 ii
            :arg1 (t / thing
                  :manner-of (g / get-05
                        :arg1 (y / you)
                        :arg2 s))))"
B.6	"(m / multi-sentence
      :snt1 (w / want-01
            :arg0 (ii / i)
            :arg1 (f / find-01
                  :arg0 ii
                  :arg1 (s / string-entity
                        :value MATH 
 :math (U1 / times :op0(O1 / SUP :op0(N1 / 5) :op1(N2 / 133)) :op0(T1 / \mod) :op0(N3 / 8)))))
      :snt2 (n / notice-01
            :arg0 (ii2 / i)
            :arg1 (s2 / string-entity
                  :value MATH 
 :math (U2 / eq :op0(U3 / times :op0(O2 / SUP :op0(N4 / 5) :op1(V1 / 𝑛)) :op0(T2 / \mod) :op0(N5 / 8)) :op0(N6 / 5)))
            :condition (a / and
                  :op1 (e / even-02
                        :polarity -
                        :arg1 (s3 / string-entity
                              :value MATH 
 :math (V2 / 𝑛)))
                  :op2 (h / have-polarity-91
                        :arg2 -
                        :arg1 s3)
                  :arg0-of (l / lead-03
                        :arg1 ii2
                        :arg2 (s4 / say-01
                              :arg0 ii2
                              :arg1 (s5 / string-entity
                                    :value MATH 
 :math (U4 / eq :op0(U5 / times :op0(O3 / SUP :op0(N7 / 5) :op1(N8 / 133)) :op0(T3 / \mod) :op0(N9 / 8)) :op0(N10 / 5)))))))
      :snt3 (c / contrast-01
            :arg2 (k / know-01
                  :polarity -
                  :arg0 ii2
                  :arg1 (t / thing
                        :manner-of (p / prove-01
                              :arg0 ii2
                              :arg1 (t2 / this))))))"
B.8	"(m / multi-sentence
      :snt1 (f / find-01
            :arg0 (ii / i)
            :arg1 (v / value-01
                  :arg1 (s / string-entity
                        :value MATH 
 :math (O1 / limit :op0(O2 / SUB :op0(O3 / limit) :op1(F1 / → :op0(V1 / 𝑛) :op1(C1 / infinity))) :op1(O4 / root :op0(O5 / divide :op0(U1 / times :op0(O6 / SUP :op0(N1 / 27) :op1(V2 / 𝑛)) :op0(O7 / SUP :op0(O8 / factorial :op0(V3 / 𝑛)) :op1(N2 / 3))) :op1(O9 / factorial :op0(U2 / times :op0(N3 / 3) :op0(V4 / 𝑛)))) :op1(V5 / 𝑛)))))
            :arg1-of (t / try-01
                  :arg0 ii))
      :snt2 (a / and
            :op1 (s2 / string-entity
                  :value MATH 
 :math (U3 / eq :op0(V6 / 𝑙) :op0(O10 / limit :op0(O11 / SUB :op0(O12 / limit) :op1(F2 / → :op0(V7 / 𝑛) :op1(C2 / infinity))) :op1(O13 / SUP :op0(O14 / divide :op0(U4 / times :op0(O15 / SUP :op0(N4 / 27) :op1(V8 / 𝑛)) :op0(O16 / SUP :op0(O17 / factorial :op0(V9 / 𝑛)) :op1(N5 / 3))) :op1(O18 / factorial :op0(U5 / times :op0(N6 / 3) :op0(V10 / 𝑛)))) :op1(O19 / divide :op0(N7 / 1) :op1(V11 / 𝑛))))))
            :op2 (s3 / string-entity
                  :value MATH 
 :math (U6 / eq :op0(F3 / ln :op0(V12 / 𝑙)) :op0(O20 / limit :op0(O21 / SUB :op0(O22 / limit) :op1(F4 / → :op0(V13 / 𝑛) :op1(C3 / infinity))) :op1(U7 / times :op0(O23 / divide :op0(N8 / 1) :op1(V14 / 𝑛)) :op0(M1 / D-lsqb;&rsqb; :op0(O24 / minus :op0(U8 / plus :op0(U9 / times :op0(V15 / 𝑛) :op0(F5 / ln :op0(N9 / 27))) :op0(U10 / times :op0(N10 / 3) :op0(F6 / ln :op0(O25 / factorial :op0(V16 / 𝑛))))) :op1(F7 / ln :op0(O26 / factorial :op0(U11 / times :op0(N11 / 3) :op0(V17 / 𝑛))))))))))
            :domain (s4 / string-entity
                  :value MATH 
 :math U6 ))
      :snt3 (s5 / solve-01
            :arg0 (ii2 / i)
            :arg1 (ii3 / it)
            :arg2 (a2 / amr-unknown))
      :snt4 (h / help-01
            :mode imperative
            :polite +
            :arg0 (y / you)
            :arg1 ii2))"
B.9	"(m / multi-sentence
      :snt1 (n / need-01
            :arg0 (ii / i)
            :arg1 (w / write-01
                  :arg0 ii
                  :arg1 (s / series
                        :example (s2 / string-entity
                              :value MATH 
 :math (O1 / SUB :op0(O2 / SUP :op0(O3 / SUB :op0(O4 / sum) :op1(U1 / eq :op0(V1 / 𝑛) :op0(N1 / 0))) :op1(V2 / 𝑁)) :op1(U2 / times :op0(V3 / 𝑛) :op0(O5 / SUP :op0(V4 / 𝑥) :op1(V5 / 𝑛))))))
                  :manner (f / form
                        :arg0-of (ii2 / involve-01
                              :polarity -
                              :arg1 (n2 / notation
                                    :mod (s3 / summarize-01)
                                    :example (s4 / string-entity
                                          :value MATH 
 :math (U3 / eq :op0(O6 / SUB :op0(O7 / SUP :op0(O8 / SUB :op0(O9 / sum) :op1(U4 / eq :op0(V6 / 𝑖) :op0(N2 / 0))) :op1(V7 / 𝑛)) :op1(O10 / SUP :op0(V8 / 𝑖) :op1(N3 / 2))) :op0(O11 / divide :op0(U5 / times :op0(U6 / plus :op0(O12 / SUP :op0(V9 / 𝑛) :op1(N4 / 2)) :op0(V10 / 𝑛)) :op0(U7 / plus :op0(U8 / times :op0(N5 / 2) :op0(V11 / 𝑛)) :op0(N6 / 1))) :op1(N7 / 6)))))))))
      :snt2 (h / have-03
            :arg0 (a / anyone)
            :arg1 (ii3 / idea
                  :mod (a2 / any)
                  :topic (d / do-02
                        :arg0 a
                        :arg1 (t / this)))
            :polarity (a3 / amr-unknown)))"
B.10	"(m / multi-sentence
      :snt1 (f / find-01
            :mode imperative
            :arg0 (y / you)
            :arg1 (v / value-interval
                  :op1 (v2 / variable
                        :name (n / name
                              :op1 MATH 
 :math (O1 / SUB :op0(O2 / SUP :op0(O3 / SUB :op0(O4 / int) :op1(N1 / 0)) :op1(C1 / infinity)) :op1(O5 / divide :op0(F1 / sin :op0(V1 / 𝑥)) :op1(O6 / SUP :op0(V2 / 𝑥) :op1(V3 / 𝑎)))))
                        :arg1-of (ii / integrate-01
                              :mod (p / proper
                                    :polarity -)))
                  :op2 (v3 / variable
                        :name (n2 / name
                              :op1 ""a>0"")
                        :arg1-of (c / converge-01))))
      :snt2 (o / obligate-01
            :arg1 (ii2 / i)
            :arg2 (e / expand-01
                  :arg0 ii2
                  :arg1 (ii3 / integrate-01)
                  :manner (u / use-01
                        :arg0 ii2
                        :arg1 (e2 / expand-01
                              :arg1 (s / series))))
            :polarity (a / amr-unknown)))"
B.11	"(m / multi-sentence
      :snt1 (e / exemplify-01
            :arg0 (c / contrast-01
                  :arg1 (h / have-03
                        :arg1 (p / parameterize-01
                              :arg1 (s / string-entity
                                    :value MATH 
 :math (U1 / eq :op0(U2 / times :op0(V1 / Φ) :op0(O1 / interval$O-O$$ :op0(V2 / 𝑢) :op1(V3 / 𝑣))) :op0(O2 / interval$O-O$$ :op0(U3 / times :op0(V4 / 𝑓) :op0(V5 / 𝑢)) :op1(U4 / times :op0(V6 / 𝑔) :op0(V7 / 𝑣)))))))
                  :arg2 (n / need-01
                        :arg1 (c2 / calculate-01
                              :arg1 (s2 / string-entity
                                    :value MATH 
 :math (O3 / SUP :op0(V8 / 𝑅) :op1(N1 / 2)))))))
      :snt2 e
      :arg0 c
      :arg1 (e2 / example
            :quant (p2 / plenty)
            :location (b / book)
            :purpose (c3 / calculate-01
                  :arg1 (s3 / string-entity
                        :value ""d""
                        :arg1-of (d / determine-01))
                  :prep-in (s4 / string-entity
                        :value MATH 
 :math (O4 / SUP :op0(V9 / 𝑅) :op1(N2 / 3)))))
      :arg2 (e3 / example
            :quant (n2 / none
                  :degree (a / at-all))
            :prep-for (c4 / case-04
                  :arg1 (s5 / string-entity
                        :value MATH 
 :math (O5 / SUP :op0(V10 / 𝑅) :op1(N3 / 2))))))"
B.12	"(m / multi-sentence
      :snt1 (a / ask-02
            :arg0 (ii / it)
            :arg1 (a2 / and
                  :op1 (f / find-01
                        :arg0 (ii2 / i)
                        :arg1 (r / root
                              :mod (a3 / all)))
                  :op2 (s / sketch-01
                        :arg0 ii2
                        :arg1 (ii3 / it)
                        :time (t / then)))
            :arg2 ii2)
      :snt2 (p / proceed-01
            :arg0 (w / we)
            :manner (a4 / amr-unknown)))"
